全衣柜编号,名称,分类编号,心级,,华丽,简约,优雅,活泼,成熟,可爱,性感,清纯,清凉,保暖,标签,标签,获取途径,套装,版本号
10001,默认粉毛,001,2,,,S,,A,,A,,A,,A,,,赠,,V1.3.2
10004,运动少年,004,3,,,S,,A,,A,,S,A,,中性风,,店·金币/浪·迷/浪·幻,,V1.3.2
10005,不羁,005,3,,,S,,A,,A,,A,S,,中性风,,设·定004,,V1.3.2
10006,全民偶像,006,3,,,A,,S,,S,,B,S,,中性风,,设·定004,,V1.3.2
10007,眷雅公子,007,2,,,B,,A,,S,,B,S,,中性风,,浪·迷/3-12少,,V1.3.2
10008,邻家哥哥,008,2,,,S,,S,A,,,C,A,,中性风,,设·定007,,V1.3.2
10009,雪狼,009,2,,A,,A,,C,,S,,A,,中性风,,设·定007,,V1.3.2
10010,完美学长,010,2,,,S,,B,,A,,A,A,,中性风,,店·金币/浪·迷/5-5少,,V1.3.2
10011,神秘来客,011,2,,,S,A,,A,,,A,A,,中性风,,设·定010,,V1.3.2
10012,奇幻使者,012,2,,,S,,S,,A,,C,S,,中性风,,设·定010,,V1.3.2
10013,科学家,013,2,,,S,B,,,A,,C,S,,中性风,,店·金币/浪·迷/3-11少,,V1.3.2
10014,咖啡店主,014,2,,,S,S,,,A,,C,A,,中性风,,设·定013,,V1.3.2
10016,银翼侠,016,3,,A,,,S,S,,A,,S,,中性风,,店·金币/浪·迷/浪·幻,,V1.3.2
10017,浅慵,017,3,,,A,B,,,S,,S,A,,,,设·图/浪·迷,,V1.3.2
10018,金灿,018,3,,A,,,A,,S,A,,A,,,,设·定017,,V1.3.2
10019,酒红,019,3,,S,,C,,,S,A,,S,,,,设·定017,虎皮喵星人,V1.3.2
10020,粉白卷发,020,5,,SS,,,S,,A,B,,,SS,,,浪·迷,,V1.3.2
10021,金米卷发,021,5,,S,,S,,,A,,A,,S,,,设·定020,,V1.3.2
10022,黑蓝卷发,022,5,,S,,S,,S,,S,,,S,,,设·定020,仲夏星辰,V1.3.2
10023,小熊·棕,023,3,,,A,,S,,A,,S,A,,,,浪·迷,,V1.3.2
10024,小熊·粉,024,3,,,A,,S,,A,,S,,A,,,设·定023,,V1.3.2
10025,小熊·黑,025,3,,,A,A,,A,,,S,,A,,,设·定023,棉花糖泰迪,V1.3.2
10026,翘筝·蓝,026,5,,A,,SS,,SS,,S,,S,,,,设·图,,V1.3.2
10027,翘筝·灰,027,5,,S,,SS,,A,,,B,S,,,,设·定026,,V1.3.2
10028,翘筝·白,028,5,,SS,,S,,S,,A,,S,,,,设·定026,,V1.3.2
10029,翘筝·金,029,5,,S,,A,,,A,,S,S,,,,设·定026,神域筝灵,V1.3.2
10030,拜占庭之歌·红,030,3,,S,,A,,A,,A,,,A,,,浪·迷/浪·幻,,V1.3.2
